"lambda"	"resv"
400	0.018891
401	0.018895
402	0.018898
403	0.018903
404	0.018907
405	0.018913
406	0.018878
407	0.018844
408	0.018815
409	0.018781
410	0.018746
411	0.018722
412	0.018699
413	0.01867
414	0.018647
415	0.018625
416	0.018602
417	0.018585
418	0.018563
419	0.018546
420	0.018522
421	0.018509
422	0.018495
423	0.018476
424	0.018463
425	0.018451
426	0.018437
427	0.018423
428	0.018415
429	0.018401
430	0.018386
431	0.018376
432	0.018361
433	0.018352
434	0.018338
435	0.01833
436	0.018321
437	0.018314
438	0.018306
439	0.018298
440	0.018292
441	0.018282
442	0.018272
443	0.018269
444	0.018261
445	0.018255
446	0.018255
447	0.018256
448	0.018255
449	0.018263
450	0.018274
451	0.018289
452	0.018308
453	0.01833
454	0.018354
455	0.018379
456	0.018406
457	0.018441
458	0.01847
459	0.018503
460	0.018529
461	0.018555
462	0.018581
463	0.0186
464	0.018627
465	0.01865
466	0.018676
467	0.018701
468	0.018718
469	0.018741
470	0.018762
471	0.018779
472	0.018789
473	0.018806
474	0.018816
475	0.01883
476	0.018844
477	0.018866
478	0.018882
479	0.018904
480	0.018929
481	0.018964
482	0.019001
483	0.019049
484	0.019103
485	0.019174
486	0.019259
487	0.019355
488	0.019475
489	0.019612
490	0.019772
491	0.019955
492	0.020159
493	0.020401
494	0.020666
495	0.020974
496	0.021317
497	0.021709
498	0.022158
499	0.022653
500	0.023215
501	0.023842
502	0.024538
503	0.02532
504	0.026181
505	0.027132
506	0.028185
507	0.029345
508	0.030617
509	0.032004
510	0.033518
511	0.035175
512	0.03697
513	0.038915
514	0.041003
515	0.043225
516	0.045568
517	0.04803
518	0.050577
519	0.053206
520	0.05588
521	0.058584
522	0.061292
523	0.063964
524	0.066535
525	0.068999
526	0.071311
527	0.073442
528	0.075364
529	0.077082
530	0.078595
531	0.079898
532	0.080988
533	0.081853
534	0.082533
535	0.083032
536	0.083366
537	0.083549
538	0.083634
539	0.083604
540	0.083503
541	0.083344
542	0.08314
543	0.082938
544	0.082736
545	0.08255
546	0.082377
547	0.082214
548	0.082044
549	0.081851
550	0.081631
551	0.081355
552	0.081036
553	0.080607
554	0.080112
555	0.079518
556	0.07884
557	0.078062
558	0.077192
559	0.076248
560	0.075245
561	0.074144
562	0.072972
563	0.071714
564	0.070389
565	0.068959
566	0.067481
567	0.06594
568	0.064375
569	0.062768
570	0.061175
571	0.059604
572	0.05808
573	0.05662
574	0.055234
575	0.053929
576	0.052712
577	0.051566
578	0.050511
579	0.049517
580	0.04859
581	0.047699
582	0.046862
583	0.046091
584	0.045361
585	0.044667
586	0.044036
587	0.043445
588	0.042904
589	0.042394
590	0.041939
591	0.041519
592	0.041135
593	0.040781
594	0.04046
595	0.040165
596	0.039885
597	0.039602
598	0.039335
599	0.03906
600	0.038772
601	0.038461
602	0.038131
603	0.03779
604	0.03741
605	0.037001
606	0.036567
607	0.036095
608	0.035607
609	0.035092
610	0.03458
611	0.034071
612	0.033551
613	0.033029
614	0.032511
615	0.032024
616	0.031557
617	0.031111
618	0.03069
619	0.030321
620	0.029994
621	0.029698
622	0.029442
623	0.029221
624	0.029029
625	0.028869
626	0.028734
627	0.028633
628	0.028541
629	0.028462
630	0.02837
631	0.028272
632	0.028142
633	0.027977
634	0.027764
635	0.027504
636	0.027194
637	0.026822
638	0.026412
639	0.025956
640	0.025479
641	0.02498
642	0.024473
643	0.023969
644	0.023474
645	0.022994
646	0.022544
647	0.022137
648	0.021761
649	0.021444
650	0.021157
651	0.020919
652	0.020696
653	0.020491
654	0.020279
655	0.020059
656	0.01982
657	0.019557
658	0.019275
659	0.018975
660	0.018666
661	0.018349
662	0.018049
663	0.017758
664	0.017498
665	0.017262
666	0.017048
667	0.01688
668	0.016731
669	0.016618
670	0.016516
671	0.016444
672	0.016381
673	0.016338
674	0.016298
675	0.016277
676	0.016256
677	0.016253
678	0.016263
679	0.016297
680	0.016348
681	0.01646
682	0.016617
683	0.016865
684	0.017205
685	0.017706
686	0.018364
687	0.019249
688	0.020397
689	0.021877
690	0.023722
691	0.025977
692	0.028694
693	0.031915
694	0.035646
695	0.039833
696	0.044534
697	0.049687
698	0.055308
699	0.061267
700	0.067598
701	0.074188
702	0.081013
703	0.087984
704	0.095103
705	0.102303
706	0.109598
707	0.11696
708	0.124411
709	0.131972
710	0.139645
711	0.147407
712	0.155301
713	0.163333
714	0.171531
715	0.179847
716	0.188335
717	0.196952
718	0.205688
719	0.214569
720	0.223565
721	0.232658
722	0.241861
723	0.251141
724	0.26046
725	0.269806
726	0.279171
727	0.288468
728	0.297751
729	0.306961
730	0.316055
731	0.324976
732	0.333821
733	0.342509
734	0.350926
735	0.359039
736	0.36695
737	0.374531
738	0.381829
739	0.388857
740	0.395489
741	0.401708
742	0.407633
743	0.413152
744	0.418344
745	0.423136
746	0.427584
747	0.431619
748	0.435287
749	0.438646
750	0.441603
751	0.444606
752	0.447633
753	0.450694
754	0.45376
755	0.45685
756	0.45994
757	0.463026
758	0.466111
759	0.469168
760	0.472197
761	0.475182
762	0.478123
763	0.481007
764	0.483825
765	0.486561
766	0.489205
767	0.49175
768	0.494174
769	0.496483
770	0.498649
771	0.500663
772	0.502527
773	0.504211
774	0.50572
775	0.507019
776	0.508126
777	0.509018
778	0.509683
779	0.510102
780	0.51027
781	0.510309
782	0.510346
783	0.510387
784	0.510424
785	0.510466
786	0.510519
787	0.510557
788	0.510593
789	0.510617
790	0.510669
791	0.5107
792	0.510746
793	0.510771
794	0.510804
795	0.510834
796	0.51087
797	0.510892
798	0.510925
799	0.510949
800	0.510996
801	0.511028
802	0.511047
803	0.511087
804	0.511121
805	0.511153
806	0.511181
807	0.511216
808	0.511258
809	0.51128
810	0.511311
811	0.51134
812	0.51137
813	0.511391
814	0.511418
815	0.511441
816	0.511467
817	0.511478
818	0.511495
819	0.51152
820	0.511544
821	0.511534
822	0.511525
823	0.511535
824	0.511538
825	0.511504
826	0.511427
827	0.51141
828	0.511369
829	0.511262
830	0.511215
831	0.511176
832	0.511085
833	0.510998
834	0.510978
835	0.510969
836	0.510923
837	0.510913
838	0.510908
839	0.510889
840	0.51088
841	0.510889
842	0.5109
843	0.510897
844	0.510916
845	0.510928
846	0.510931
847	0.510954
848	0.510971
849	0.510965
850	0.510992
851	0.510994
852	0.510992
853	0.510997
854	0.51101
855	0.511011
856	0.510992
857	0.510998
858	0.511018
859	0.510993
860	0.510998
861	0.511007
862	0.510999
863	0.51101
864	0.511011
865	0.510993
866	0.510994
867	0.511009
868	0.51103
869	0.511061
870	0.511065
871	0.511041
872	0.511048
873	0.511069
874	0.511055
875	0.511054
876	0.511043
877	0.511031
878	0.511024
879	0.511022
880	0.510983
881	0.510969
882	0.510967
883	0.510946
884	0.510922
885	0.510921
886	0.510919
887	0.510899
888	0.51087
889	0.510859
890	0.510848
891	0.510804
892	0.510785
893	0.510785
894	0.510788
895	0.510767
896	0.510717
897	0.510708
898	0.510699
899	0.510656
900	0.510636
901	0.510619
902	0.510576
903	0.510544
904	0.510547
905	0.510547
906	0.510518
907	0.510454
908	0.510421
909	0.510413
910	0.510399
911	0.510355
912	0.510267
913	0.510206
914	0.510182
915	0.51016
916	0.510076
